new entry "ProjectileStrike_PositionFinder_5_Emlute"
type "SpellData"
data "SpellType" "ProjectileStrike"
data "SpellProperties" "GROUND:Spawn(d5589336-4ca7-4ef7-9f6d-ebfea51001fe,,SNEAKING_LIGHTLY_OBSCURED,,,,true);"
data "TargetRadius" "1"
data "AreaRadius" "2"
data "StrikeCount" "5"
data "TargetConditions" "Self();"
data "ProjectileCount" "1"
data "Angle" "0"
data "Height" "1"
data "Trajectories" "2f8023d3-c51d-4a2d-922b-4954ea410d72"
data "Icon" "EmbersLute_Status_Showmanship"
data "DisplayName" "h0ddff1c6gdebbgf04ag3817g786e54a5c6c6;2"
data "Description" "h633bf7a8g9a0dge9a8gc367g0a28f1073c6e;1"
data "Distribution" "Edge"
data "SpellFlags" "ImmediateCast"

