treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "EMLUTE_Chest_Content_MusicalSprites"
new subtable "1,1"
object category "I_EMBERS_LUTE_BOOK_INFO_MUSICALSPRITES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_MUSICALSPRITES_BLACK",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_MUSICALSPRITES_WHITE",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_MUSICALSPRITES_LUTE_VANILLA_B",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_MUSICALSPRITES_LUTE_VANILLA_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_MUSICALSPRITES_VIOLIN_WHITE",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content_Ensembles"
new subtable "1,1"
object category "I_EMBERS_LUTE_BOOK_INFO_ENSEMBLES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_ROLLINGBONES",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_VICIOUSROCKERY",1,0,0,0,0,0,0,0
new treasuretable "EMLUTE_Chest_Content_Annoying"
new subtable "1,1"
object category "I_EMBERS_LUTE_BOOK_INFO_ANNOYING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_WHISTLING",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_WHISTLING_DYEABLE",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_DYE_BLACKRED",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_DYE_BLACKTEAL",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_DYE_BLACKGOLD",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_EMBERS_LUTE_DYE_WHITEBLACK",1,0,0,0,0,0,0,0
